filename,true_class,predicted_class,confidence,dataset_type,source,correct,all_probs
E (1)_1.jpg,O. exaltata,O. exaltata,99.06783103942871,cropped,internet,True,"[99.06783103942871, 0.0014794822163821664, 0.0002559424729042803, 1.5134551745177305e-05, 0.9209801442921162, 0.009453649545321241]"
E (1)_2.jpg,O. exaltata,O. exaltata,99.88221526145935,cropped,internet,True,"[99.88221526145935, 0.005174536272534169, 0.0022097610781202093, 0.0012975496247236151, 0.02815905900206417, 0.08093024371191859]"
E (10)_1.jpg,O. exaltata,O. exaltata,96.07905745506287,cropped,internet,True,"[96.07905745506287, 0.06176290917210281, 3.4522008150815964, 0.0820524524897337, 0.2461595693603158, 0.07876328891143203]"
E (10)_2.jpg,O. exaltata,O. exaltata,99.99984502792358,cropped,internet,True,"[99.99984502792358, 3.6705401385006553e-06, 9.775961018476664e-06, 1.9264287942633018e-07, 6.238380478862382e-05, 8.234135862039693e-05]"
E (100)_1.jpg,O. exaltata,O. sphegodes_Palena,55.06962537765503,cropped,internet,False,"[39.3010675907135, 0.7049401756376028, 0.23133382201194763, 4.138407856225967, 0.554628623649478, 55.06962537765503]"
E (101)_1.jpg,O. exaltata,O. exaltata,92.88167953491211,cropped,internet,True,"[92.88167953491211, 0.08398392819799483, 4.575839638710022, 2.310081385076046, 0.10070924181491137, 0.04770501691382378]"
E (101)_2.jpg,O. exaltata,O. exaltata,47.83477187156677,cropped,internet,True,"[47.83477187156677, 3.4767791628837585, 7.14716762304306, 0.6869411561638117, 16.641750931739807, 24.212588369846344]"
E (101)_3.jpg,O. exaltata,O. exaltata,99.04436469078064,cropped,internet,True,"[99.04436469078064, 0.011358696792740375, 0.12526261853054166, 0.3302286146208644, 0.22244309075176716, 0.2663388382643461]"
E (101)_4.jpg,O. exaltata,O. sphegodes_Palena,42.3908531665802,cropped,internet,False,"[13.293293118476868, 2.2460566833615303, 5.360814183950424, 6.339692324399948, 30.369293689727783, 42.3908531665802]"
E (102)_1.jpg,O. exaltata,O. exaltata,90.41656851768494,cropped,internet,True,"[90.41656851768494, 0.56847776286304, 0.5074229557067156, 0.6182154174894094, 0.693356292322278, 7.195955514907837]"
E (103)_1.jpg,O. exaltata,O. incubacea,33.094146847724915,cropped,internet,False,"[10.449481010437012, 2.12264284491539, 33.094146847724915, 0.3039899980649352, 23.263274133205414, 30.766454339027405]"
E (104)_1.jpg,O. exaltata,O. sphegodes_Palena,99.94864463806152,cropped,internet,False,"[0.0063283594499807805, 0.0008522891221218742, 0.04221638955641538, 0.0019453264030744322, 1.572749255274175e-05, 99.94864463806152]"
E (105)_1.jpg,O. exaltata,O. exaltata,95.19924521446228,cropped,internet,True,"[95.19924521446228, 0.09348340099677444, 0.10104709072038531, 0.04134402552153915, 4.530199244618416, 0.03468354698270559]"
E (106)_1.jpg,O. exaltata,O. sphegodes_Palena,99.8445212841034,cropped,internet,False,"[0.08226786158047616, 0.0032041829399531707, 0.03981064073741436, 0.011760609777411446, 0.018434140656609088, 99.8445212841034]"
E (107)_1.jpg,O. exaltata,O. sphegodes_Palena,59.547555446624756,cropped,internet,False,"[39.50039744377136, 0.634049391373992, 0.046546064550057054, 0.006510558887384832, 0.26495009660720825, 59.547555446624756]"
E (108)_1.jpg,O. exaltata,O. sphegodes_Palena,47.049880027770996,cropped,internet,False,"[45.76220512390137, 0.24513185489922762, 0.4743408877402544, 0.409470172598958, 6.058972328901291, 47.049880027770996]"
